When would I stop taking DrugX if I had to have a dental procedure,Discontinuation for surgery.docx,3,
When is it recommended to discontinue DrugX prior to cataract surgery?,Discontinuation for surgery.docx,3,
How long before a dental procedure should DrugX be discontinued?,Discontinuation for surgery.docx,3,
When should you stop DrugX before you have a procedure?,Discontinuation for surgery.docx,3,
How long before an invasive procedure would I have to stop DrugX?,Discontinuation for surgery.docx,3,
"If someone was going to have surgery, how long should they be off DrugX for?",Discontinuation for surgery.docx,3,
Can one take NSAID along DrugX?,DrugX_DI_NSAIDs.docx,4,
Can Ibuprofen/Motrin/Advil/Aleve be taken with DrugX?,DrugX_DI_NSAIDs.docx,4,
Can Ibuprofen/Motrin/Advil/Aleve be taken with DrugX?,DrugX_DI_NSAIDs.docx,4,
Can Ibuprofen be taken with DrugX?,DrugX_DI_NSAIDs.docx,4,
Can you take NSaid's while on DrugX?,DrugX_DI_NSAIDs.docx,4,
Can ibuprofen be possibly taken with DrugX?,DrugX_DI_NSAIDs.docx,4,
Can one take ibuprofen with DrugX?,DrugX_DI_NSAIDs.docx,4,
Can one take Aleeve along with DrugX?,DrugX_DI_NSAIDs.docx,4,
Can NSAIDs be taken while on DrugX?,DrugX_DI_NSAIDs.docx,4,
Can one take Celebrex with DrugX?,DrugX_DI_NSAIDs.docx,4,
"just started on DrugX about 4 weeks, need a anti-inflammatory. can you chose one that's safe?",DrugX_DI_NSAIDs.docx,4,
Patient missed dose last night that she takes at 7PM.  Pateint took dose this morning. When should she take her next dose of DrugX?,Missed dose.docx,1,
What happens if I potentially skip one or two doses of DrugX?,Missed dose.docx,1,
What should I do If  i take on tablet late the night before and take one early the nexrt day??,Missed dose.docx,1,
How should I administer DrugX today if evening dose last night was missed?,Missed dose.docx,1,
What should I do if I potentially missed a dose of DrugX but did not when I missed the dose?,Missed dose.docx,1,
What should I do if I potentially missed a dose of DrugX?,Missed dose.docx,1,
What should a patient do if they miss a dose?,Missed dose.docx,1,
"How long should DrugX be held before a tooth extraction, and is it safe to miss doses of DrugX?",Missed dose.docx,1,
What should be done for a missed dose of DrugX?,Missed dose.docx,1,
What are the recommendations for a missed dose of DrugX?,Missed dose.docx,1,
What affect does it have if three days of medication are missed?,Missed dose.docx,1,
What should I do if I potentially miss a dose?,Missed dose.docx,1,
What if I forget to take my pill?,Missed dose.docx,1,
"If I possibly miss a dose of DrugX, should I take two, or wait until tonight?",Missed dose 15 mg twice daily.docx,2,
What should I do if i missed my dose,Missed dose.docx,1,
What would happen if you miss a dose of DrugX?,Missed dose.docx,1,
"If a dose of DrugX is missed and not remembered until the next day, when should the next dose be taken?",Missed dose.docx,1,
What is the recommendation if a consumer were to miss a dose?,Missed dose.docx,1,
Should a regularly scheduled dose of DrugX be taken in the event of missing a dose the previous night and  taking a DrugX the morning after?,Missed dose.docx,1,
When should DrugX be taken next in the event of missing a dose yesterday?,Missed dose.docx,1,
What happens if the dose is missed?,Missed dose.docx,1,
Will anything happen if you possibly miss a dose?,Missed dose.docx,1,
What should you do if you possibly miss a dose?,Missed dose.docx,1,
Is it okay if you possibly miss a dose of DrugX?,Missed dose.docx,1,
What do I do if I miss a dose?,Missed dose.docx,1,
What should be done if a dose was missed last night?,Missed dose.docx,1,
What should you do if you miss a dose?,Missed dose.docx,1,
What do I do if I miss a dose?,Missed dose.docx,1,
What is the information available on DrugX on a possible missed dose?,Missed dose.docx,1,
What can one do if a dose of DrugX is missed?,Missed dose.docx,1,
What is the recommendation if a dose is missed?,Missed dose.docx,1,
What do I do for a missed dose?,Missed dose.docx,1,
What should I do if I possibly missed a dose of DrugX?,Missed dose.docx,1,
What do you do if you miss a dose?,Missed dose.docx,1,
What should one do if a dose of DrugX is missed?,Missed dose.docx,1,
"If someone were to miss a dose of DrugX, what is the recommendation?",Missed dose.docx,1,
What should I do if I miss a dose?,Missed dose.docx,1,
What should I do if I miss a dose of DrugX?,Missed dose.docx,1,
What information is there for a possible missed dose on DrugX?,Missed dose.docx,1,
Should DrugX be taken or not taken in the case of not remembering if a dose was taken in the morning?,Missed dose.docx,1,
"If someone forgot to take DrugX in the evening, took the medication the next morning when they remembered, when should the next dose be taken?",Missed dose.docx,1,
What should someone do if they forget to take their DrugX?,Missed dose.docx,1,
